Time [s], Analyzer Name, Decoded Protocol Result
-0.100000000000000,USB LS and FS,Reset
0.000000110000000,USB LS and FS,Error packet
0.004217104000000,USB LS and FS,Reset
0.230379594000000,USB LS and FS,Reset
0.771022502000000,USB LS and FS,Reset
0.977434286000000,USB LS and FS,bmRequestType=80 Data direction=Device to host, Type=Standard, Recipient=Device
0.977434954000000,USB LS and FS,bRequest=06 GET_DESCRIPTOR
0.977435620000000,USB LS and FS,wValue=0100 Descriptor=DEVICE, Index=00
0.977436952000000,USB LS and FS,wIndex=0000
0.977438286000000,USB LS and FS,wLength=0040
, DD
0.977481618000000,USB LS and FS,bLength=12
0.977482284000000,USB LS and FS,bDescriptorType=01 DEVICE
0.977482948000000,USB LS and FS,bcdUSB=0110 1.10
0.977484274000000,USB LS and FS,bDeviceClass=00 Deferred to Interface Descriptors
0.977484938000000,USB LS and FS,bDeviceSubClass=00
0.977485602000000,USB LS and FS,bDeviceProtocol=00
0.977486268000000,USB LS and FS,bMaxPacketSize0=40
0.977486928000000,USB LS and FS,idVendor=1A86 Vendor=QinHeng Electronics
0.977488258000000,USB LS and FS,idProduct=E024
0.977489586000000,USB LS and FS,bcdDevice=010C 1.012
0.977490912000000,USB LS and FS,iManufacturer=00
0.977491576000000,USB LS and FS,iProduct=00
0.977492240000000,USB LS and FS,iSerialNumber=00
0.977492908000000,USB LS and FS,bNumConfigurations=01
, A9
0.977631926000000,USB LS and FS,Reset
1.161712472000000,USB LS and FS,bmRequestType=00 Data direction=No data, Type=Standard, Recipient=Device
1.161713140000000,USB LS and FS,bRequest=05 SET_ADDRESS
1.161713806000000,USB LS and FS,wValue=0002 Address=02
1.161715140000000,USB LS and FS,wIndex=0000
1.161716474000000,USB LS and FS,wLength=0000
, EB
1.181359592000000,USB LS and FS,bmRequestType=80 Data direction=Device to host, Type=Standard, Recipient=Device
1.181360260000000,USB LS and FS,bRequest=06 GET_DESCRIPTOR
1.181360926000000,USB LS and FS,wValue=0100 Descriptor=DEVICE, Index=00
1.181362258000000,USB LS and FS,wIndex=0000
1.181363592000000,USB LS and FS,wLength=0012
1.181406602000000,USB LS and FS,bLength=12
1.181407270000000,USB LS and FS,bDescriptorType=01 DEVICE
1.181407932000000,USB LS and FS,bcdUSB=0110 1.10
1.181409262000000,USB LS and FS,bDeviceClass=00 Deferred to Interface Descriptors
1.181409926000000,USB LS and FS,bDeviceSubClass=00
1.181410590000000,USB LS and FS,bDeviceProtocol=00
1.181411256000000,USB LS and FS,bMaxPacketSize0=40
